gamma delta nu_max
5.381789974786277408e-01 4.165434400496485168e+00 3.919742172975288241e+01
3.272747285839301412e-01 3.444395564260457121e+00 1.729956711102818190e+01
4.457931151000695813e-01 3.373727022776781936e+00 8.469128609139042396e+01
3.787029180270717887e-01 3.231605118361335904e+00 6.164416262172551342e+01
4.962069337266887814e-01 3.710480147539084506e+00 7.617554067557163933e+01
4.711117009526657462e-01 3.704963251683205172e+00 8.570386940158552136e+01
4.449712888656687237e-01 3.460293292692519618e+00 6.197018185956230241e+01
4.373954771738819414e-01 3.090012597705594555e+00 7.781720401461346626e+01
4.413325114887622913e-01 3.131922842963890119e+00 3.793433110575794842e+01
4.988988036110977298e-01 3.645690039292997398e+00 2.075321092589661021e+01
5.180276031335591114e-01 3.736308153338566473e+00 6.092193809203688915e+01
4.923714603160738168e-01 3.455308565966940471e+00 8.272568563810139608e+01
4.951778126222938781e-01 3.737098259286979030e+00 1.164273046074479225e+02
5.066303253774434578e-01 3.756393716734082844e+00 1.471303953579228363e+01
5.596719102683282987e-01 4.368419479057492616e+00 2.648629258933931396e+01
3.614857935959232549e-01 3.708745913385933068e+00 7.683936821611020207e+00
5.692184999813474366e-01 4.435756763447099793e+00 2.239757761818256654e+01
4.414087645793081105e-01 2.873893861816966488e+00 3.968790734894858474e+01
3.531158671874909949e-01 3.140188401046739131e+00 3.011379342363673217e+01
4.399101279925106134e-01 3.719291241306582840e+00 1.002799393926049021e+01
5.479303920954314844e-01 4.100831862690411889e+00 6.954745206473158703e+01
4.505742557433669582e-01 3.343899920195489095e+00 2.903797713642173051e+01
4.779858036969781843e-01 3.414701447047015836e+00 6.883564360527245185e+01
5.063026276229160016e-01 4.272894383543452079e+00 8.175719850658680343e+00
5.179871957915801461e-01 3.884284660886078822e+00 8.615249543483116668e+01
5.221069751940644599e-01 3.806849185874794816e+00 2.741585396652995144e+01
3.844962292078268895e-01 3.335445752408253917e+00 6.300813386033191676e+01
4.128256177830498252e-01 3.253943780410523345e+00 4.977144977442313234e+01
4.918183729964735740e-01 3.756683976820019311e+00 7.772113259757307446e+01
4.764475796712142053e-01 3.575335911226316110e+00 5.204292019547798276e+01
5.682283638816635341e-01 4.351556752334241551e+00 2.671104170032942449e+01
