logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.147844268818590092e+06 -1.147850261532876873e+06 nan
-1.147850261532876873e+06 nan -2.500000000000000052e-03 4.000000000000000000e+02 -8.631864154877563706e+05 -8.631924107020430965e+05 nan
-8.631924107020430965e+05 nan -5.000000000000000104e-03 4.000000000000000000e+02 -7.586605351847331040e+05 -7.586665328990197740e+05 nan
-7.586665328990197740e+05 nan -7.499999999999999722e-03 4.000000000000000000e+02 -7.289169622073104838e+05 -7.289229624215972144e+05 nan
-7.289229624215972144e+05 nan -1.000000000000000021e-02 4.000000000000000000e+02 -6.931584716306349728e+05 -6.931644743449216476e+05 nan
-6.931644743449216476e+05 nan -1.250000000000000069e-02 4.000000000000000000e+02 -5.814181141378617613e+05 -5.814241193521484965e+05 nan
-5.814241193521484965e+05 7.662978526638606854e+04 -1.500000000000000118e-02 4.000000000000000000e+02 -5.201429766238065204e+05 -5.201489843380931998e+05 nan
-5.201489843380931998e+05 8.090609144711073895e+04 -1.750000000000000167e-02 4.000000000000000000e+02 -4.394882232127651223e+05 -4.394942334270518040e+05 nan
-4.394942334270518040e+05 9.144168801015973440e+04 -2.000000000000000042e-02 4.000000000000000000e+02 -4.003403624072758830e+05 -4.003463751215625671e+05 nan
-4.003463751215625671e+05 4.743477434812793217e+04 -2.249999999999999917e-02 4.000000000000000000e+02 -3.809564888469548314e+05 -3.809625040612415178e+05 nan
-3.809625040612415178e+05 5.161513486299067881e+04 -2.499999999999999792e-02 4.000000000000000000e+02 -3.774563473090236657e+05 -3.774623650233103544e+05 nan
-3.774623650233103544e+05 3.928188948275172879e+04 -2.749999999999999667e-02 4.000000000000000000e+02 -3.684526753230869654e+05 -3.684586955373736564e+05 nan
-3.684586955373736564e+05 4.097786614900753921e+04 -2.999999999999999542e-02 4.000000000000000000e+02 -3.669236815292657702e+05 -3.669297042435524636e+05 nan
-3.669297042435524636e+05 5.298192719243641477e+03 -3.249999999999999417e-02 4.000000000000000000e+02 -3.664093466919726343e+05 -3.664153719062593300e+05 nan
-3.664153719062593300e+05 4.761739870131910720e+03 -3.499999999999999639e-02 4.000000000000000000e+02 -3.663059787886267295e+05 -3.663120065029134275e+05 nan
-3.663120065029134275e+05 4.030618801224537037e+03 -3.749999999999999861e-02 4.000000000000000000e+02 -3.659299335633928422e+05 -3.659359637776795425e+05 nan
-3.659359637776795425e+05 6.981045151987915460e+02 -4.000000000000000083e-02 4.000000000000000000e+02 -3.639657590136755607e+05 -3.639717917279622634e+05 nan
-3.639717917279622634e+05 9.903548349764520253e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -3.617137875014536548e+05 -3.617198227157403599e+05 nan
-3.617198227157403599e+05 1.399581693180299453e+03 -4.500000000000000527e-02 4.000000000000000000e+02 -3.592876660888723563e+05 -3.592937038031590637e+05 nan
-3.592937038031590637e+05 2.138556776487002935e+03 -4.750000000000000749e-02 4.000000000000000000e+02 -3.569644597713251715e+05 -3.569704999856118811e+05 nan
-3.569704999856118811e+05 2.637645999199253311e+03 -5.000000000000000971e-02 4.000000000000000000e+02 -3.533871998465158395e+05 -3.533932425608025515e+05 nan
-3.533932425608025515e+05 3.945572475845026474e+03 -5.250000000000001193e-02 4.000000000000000000e+02 -3.527714641478938283e+05 -3.527775093621805427e+05 nan
-3.527775093621805427e+05 3.664850053326560555e+03 -5.500000000000001416e-02 4.000000000000000000e+02 -3.422908112944288296e+05 -3.422968590087155462e+05 nan
-3.422968590087155462e+05 7.661390498825329814e+03 -5.750000000000001638e-02 4.000000000000000000e+02 -3.421244468535629567e+05 -3.421304970678496757e+05 nan
-3.421304970678496757e+05 7.179209078004336675e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -3.384399387145101791e+05 -3.384459914287968422e+05 nan
