weight logl gamma delta nu_max
0.000000000000000000e+00 -1.130715659779282985e+06 7.331138715865205269e-01 3.545371326974410486e+00 1.795350640574170598e+00
0.000000000000000000e+00 -1.093630233185924822e+06 1.923540419087420794e+00 4.336908467596000349e+00 1.195221491806471192e+00
0.000000000000000000e+00 -1.032858946576833259e+06 9.448495920378062740e-01 4.162650169749896101e+00 2.849034228615650477e+00
0.000000000000000000e+00 -8.916967102508799871e+05 2.599940748162614668e+00 4.102260551891820484e+00 2.911850747088820413e+00
0.000000000000000000e+00 -6.381527913162369514e+05 1.730178890242049627e+00 4.330206852434248965e+00 5.351852215830646742e+00
0.000000000000000000e+00 -5.960057342060609953e+05 1.543985683214670779e+00 3.519139313122559454e+00 5.342187077282275709e+00
0.000000000000000000e+00 -5.342737037826388841e+05 8.662060718071935561e-01 4.356500639735953584e+00 8.887742069461218364e+00
0.000000000000000000e+00 -4.319161008424108149e+05 1.907045092221342220e-01 4.763123921608540812e+00 5.896088228678213738e+01
0.000000000000000000e+00 -3.859958821347198100e+05 2.082456600611100050e-01 4.185394541268880886e+00 1.015219942566457547e+02
0.000000000000000000e+00 -3.842918461575743859e+05 9.615538239121840247e-01 5.205462441233818183e+00 5.942204422602412706e+01
0.000000000000000000e+00 -3.770435185101829120e+05 4.978375847337230820e-01 3.337582814560789757e+00 3.686965804209869191e+01
0.000000000000000000e+00 -3.751237513495872263e+05 1.878560177735936421e+00 2.880181689730952677e+00 7.367798896823103405e+00
0.000000000000000000e+00 -3.727783028241752763e+05 5.390437636869409577e-01 3.521006733549313594e+00 4.056038279770679367e+01
0.000000000000000000e+00 -3.726395214071740629e+05 9.900919284025634370e-01 5.303589167727135845e+00 7.727737329477608341e+01
0.000000000000000000e+00 -3.685217771707763313e+05 7.631020376611298284e-01 4.596979410488039264e+00 1.405347077482783789e+02
0.000000000000000000e+00 -3.671942028318921803e+05 5.868648360459001179e-01 3.663782919166125751e+00 5.894579623627915765e+01
0.000000000000000000e+00 -3.615320709674269892e+05 5.746118228595079591e-01 3.466696146580809934e+00 4.847277539285232706e+01
0.000000000000000000e+00 -3.521317371958117001e+05 6.353166910004077739e-01 3.657689009524627721e+00 6.420873213158614590e+01
0.000000000000000000e+00 -3.506510024075596011e+05 1.532585378152306888e-01 3.537634399456095924e+00 1.062754985353363679e+02
0.000000000000000000e+00 -3.486918682031818316e+05 2.250350873879645164e-01 4.291239812094104877e+00 4.886538342918123590e+01
0.000000000000000000e+00 -3.413215954162630951e+05 3.848332069225584018e-01 4.545851401852878837e+00 6.285122789205034621e+01
0.000000000000000000e+00 -3.408261557361589512e+05 9.348136680044408786e-01 4.940709878731359694e+00 1.098629153185902254e+02
0.000000000000000000e+00 -3.357748877125699655e+05 7.408825797351069609e-01 3.870885991825389727e+00 4.723531488501261322e+01
0.000000000000000000e+00 -3.324155494890038390e+05 6.345385445811497771e-01 5.035871282071230581e+00 7.263779163166695696e+01
0.000000000000000000e+00 -3.299703113976123277e+05 8.032346818466096217e-01 4.095495684354863108e+00 4.725423015893755263e+01
0.000000000000000000e+00 -3.280090729621248902e+05 6.754456356093049285e-01 3.634951942438358508e+00 6.138543877716712416e+01
0.000000000000000000e+00 -3.262474334348175908e+05 6.695376781955425516e-01 3.562036435930791889e+00 4.982262418607270149e+01
0.000000000000000000e+00 -3.257348831210669014e+05 8.769926508081706817e-01 4.424236377281698829e+00 7.303003645888202300e+01
0.000000000000000000e+00 -3.241150595836748253e+05 2.654098379487583870e-01 4.284929212663780795e+00 2.749463104809067460e+01
0.000000000000000000e+00 -3.203501991757709184e+05 8.811811327161334084e-01 4.321162199438298934e+00 6.460328752022455490e+01
0.000000000000000000e+00 -3.194111646643761196e+05 7.808805581576736543e-01 3.747753550955322144e+00 3.380557399550433928e+01
0.000000000000000000e+00 -3.194069238519284409e+05 8.724721010265205079e-01 4.243334209966259429e+00 6.852866000532191038e+01
0.000000000000000000e+00 -3.178050112701422186e+05 9.143360820200372441e-01 4.417248194561949504e+00 5.505924343948122157e+01
0.000000000000000000e+00 -3.174740673396047205e+05 9.085650165323539973e-01 4.408958922859995688e+00 7.311901057066040721e+01
0.000000000000000000e+00 -3.151162222192937043e+05 5.204809507598748830e-01 4.575498713385163008e+00 9.205853542448855364e+01
0.000000000000000000e+00 -3.145431157140239957e+05 8.433535195135883900e-01 4.168660166332490036e+00 8.876887876305437430e+01
0.000000000000000000e+00 -3.137040095850042999e+05 9.247787259931974368e-01 4.401840770197891217e+00 8.211845082356943237e+01
0.000000000000000000e+00 -3.134106211309902719e+05 1.735177761876445235e-01 3.639863796881078972e+00 6.348696787356177396e+01
0.000000000000000000e+00 -3.112236176929514040e+05 9.750050558707632486e-01 4.635279721575530587e+00 8.600253907794206043e+01
0.000000000000000000e+00 -3.098719763280057814e+05 8.594964000847471475e-01 3.962745561210982537e+00 3.170455079235760820e+01
0.000000000000000000e+00 -3.094596739201804157e+05 3.494948539383506692e-01 4.028415142535056503e+00 9.130167453380678921e+01
0.000000000000000000e+00 -3.068121807488240302e+05 6.586005932225271753e-01 4.870924888904120564e+00 9.211906209972579518e+01
0.000000000000000000e+00 -3.044170691103667486e+05 8.901156657064306366e-01 3.892808436719507270e+00 1.708871601062003265e+01
0.000000000000000000e+00 -3.041877275073574856e+05 3.283741394983523687e-01 3.883525612257239246e+00 9.321883299155516056e+01
0.000000000000000000e+00 -3.002675677344808937e+05 2.898262328402869681e-01 4.028051139664680314e+00 4.898471202255124268e+01
0.000000000000000000e+00 -2.994036123528669123e+05 8.988467541769271651e-01 4.210762962242162288e+00 7.969022489660864039e+01
0.000000000000000000e+00 -2.985335545631198911e+05 1.269318510720601090e+00 5.286671004272639252e+00 3.980806473407542967e+01
0.000000000000000000e+00 -2.972328372198930010e+05 4.614918143284763019e-01 4.282439146715401712e+00 8.414403418521659717e+01
0.000000000000000000e+00 -2.970820882738752989e+05 1.195468283399065967e+00 5.121663929792656944e+00 4.759654349798312012e+01
0.000000000000000000e+00 -2.962085248436234542e+05 1.150563603184763029e+00 4.477571053416255609e+00 1.692138768118263670e+01
0.000000000000000000e+00 -2.954438065069335280e+05 6.255962817904856532e-01 4.580431328456034734e+00 7.565427957757395916e+01
0.000000000000000000e+00 -2.947592687117759488e+05 1.023387594107745713e+00 4.688820831903762532e+00 1.182876587309727796e+02
0.000000000000000000e+00 -2.947123798663247144e+05 9.939135208935200305e-01 4.302680692225496983e+00 4.185582707723911966e+01
0.000000000000000000e+00 -2.932659378455390106e+05 1.326761657757076218e+00 4.287081962000045543e+00 1.250444029267475798e+01
0.000000000000000000e+00 -2.901776381784047117e+05 3.089128044070155177e-01 4.061796804031559738e+00 3.417808880941835525e+01
0.000000000000000000e+00 -2.874713539255559444e+05 1.136146261387536605e+00 4.821766269104441172e+00 5.969639107516439225e+01
0.000000000000000000e+00 -2.869732851575030363e+05 9.562169518923677725e-01 4.033956381675388059e+00 3.725444683239089727e+01
0.000000000000000000e+00 -2.851803851468024659e+05 1.098184204546279297e+00 4.808822276456253597e+00 1.051043324342485477e+02
0.000000000000000000e+00 -2.845427810485092341e+05 1.089200730881223933e+00 4.552674125019730234e+00 5.883375733501048899e+01
0.000000000000000000e+00 -2.813030934292780003e+05 1.102716788514808144e+00 4.487725768603647580e+00 4.012275294797773739e+01
0.000000000000000000e+00 -2.812992174908920424e+05 1.039975109062342806e+00 4.181737682302470560e+00 3.175287993434916700e+01
0.000000000000000000e+00 -2.798061220530834398e+05 4.402413184992142181e-01 4.176402892645392662e+00 4.775142304387186698e+01
0.000000000000000000e+00 -2.793258207738734782e+05 9.313839067202143163e-01 3.641406651037375042e+00 1.671813555937360718e+01
0.000000000000000000e+00 -2.793167023012043792e+05 1.744226512234127835e+00 3.688604714632702564e+00 1.006489830074220748e+01
