weight logl gamma delta nu_max
0.000000000000000000e+00 -1.130715659779282985e+06 6.127566308316623189e-02 1.816071500265139527e-01 3.510153560648321402e-03
0.000000000000000000e+00 -1.093630233185924822e+06 8.012566843592650034e-01 7.497861466497004468e-01 2.290566662240478557e-03
0.000000000000000000e+00 -1.032858946576833259e+06 1.322633548271144877e-01 6.275231130278665637e-01 5.769058171327445805e-03
0.000000000000000000e+00 -8.916967102508799871e+05 9.860735487797568366e-01 5.810268489583506613e-01 5.908586954090799814e-03
0.000000000000000000e+00 -6.381527913162369514e+05 6.769341772046949535e-01 7.455058101218632327e-01 1.177523261909496632e-02
0.000000000000000000e+00 -5.960057342060609953e+05 5.344217998203698583e-01 1.680947914331556436e-01 1.175021095457873255e-02
0.000000000000000000e+00 -5.342737037826388841e+05 1.012593772109572354e-01 7.620775172992046986e-01 2.196421217072630494e-02
0.000000000000000000e+00 -4.319161008424108149e+05 3.068931869102842214e-03 9.365259237369540912e-01 4.742230000958848057e-01
0.000000000000000000e+00 -3.859958821347198100e+05 3.544937578870754891e-03 6.446026832334720291e-01 9.148947948460451896e-01
0.000000000000000000e+00 -3.842918461575743859e+05 1.396027314995516022e-01 9.920439373378504566e-01 4.804959908239315736e-01
0.000000000000000000e+00 -3.770435185101829120e+05 2.119635272352216049e-02 9.261304607639786468e-02 2.022000331369271375e-01
0.000000000000000000e+00 -3.751237513495872263e+05 7.752076732839048301e-01 1.255726163140025164e-02 1.732442271732947958e-02
0.000000000000000000e+00 -3.727783028241752763e+05 2.599357671517310564e-02 1.690347747267761935e-01 2.412345883803661550e-01
0.000000000000000000e+00 -3.726395214071740629e+05 1.527641507779770036e-01 9.954354100114167769e-01 7.110900788853202759e-01
0.000000000000000000e+00 -3.685217771707763313e+05 6.901153346108934716e-02 8.837529617463537601e-01 9.962834223572518688e-01
0.000000000000000000e+00 -3.671942028318921803e+05 3.259888334669003296e-02 2.506536704608380850e-01 4.740178392754261782e-01
0.000000000000000000e+00 -3.615320709674269892e+05 3.079253583704466557e-02 1.430745094477843260e-01 3.352774574286155884e-01
0.000000000000000000e+00 -3.521317371958117001e+05 4.057662657250704630e-02 2.467912463712902404e-01 5.454437765255873982e-01
0.000000000000000000e+00 -3.506510024075596011e+05 2.188544647016010813e-03 1.775528726819359804e-01 9.370948480507946821e-01
0.000000000000000000e+00 -3.486918682031818316e+05 4.042789526658818744e-03 7.198781688608920648e-01 3.402521072588424733e-01
0.000000000000000000e+00 -3.413215954162630951e+05 1.152831654333785760e-02 8.625181237727372885e-01 5.271003112757476350e-01
0.000000000000000000e+00 -3.408261557361589512e+05 1.279824791168943099e-01 9.700425793413832709e-01 9.506301844466740203e-01
0.000000000000000000e+00 -3.357748877125699655e+05 6.321303678871525999e-02 3.981154685214745026e-01 3.197644881166175068e-01
0.000000000000000000e+00 -3.324155494890038390e+05 4.043744575799756991e-02 9.808552721987986445e-01 6.553770631214624887e-01
0.000000000000000000e+00 -3.299703113976123277e+05 8.048844684339573341e-02 5.757338222717900411e-01 3.199996361931531919e-01
0.000000000000000000e+00 -3.280090729621248902e+05 4.827795313919125419e-02 2.326657179152732402e-01 5.072059948958811404e-01
0.000000000000000000e+00 -3.262474334348175908e+05 4.707794346975380240e-02 1.905348253258757341e-01 3.524811219917705074e-01
0.000000000000000000e+00 -3.257348831210669014e+05 1.051715724009105735e-01 8.019126302070737067e-01 6.602478338490367360e-01
0.000000000000000000e+00 -3.241150595836748253e+05 5.428577840558390655e-03 7.156131376030242519e-01 1.192534472247609445e-01
0.000000000000000000e+00 -3.203501991757709184e+05 1.067193703172307773e-01 7.396687122655800639e-01 5.507551184424949176e-01
0.000000000000000000e+00 -3.194111646643761196e+05 7.393304706202885601e-02 3.069575257844973093e-01 1.724647989918761670e-01
0.000000000000000000e+00 -3.194069238519284409e+05 1.035190947077914148e-01 6.867533358579464009e-01 6.028706700664597795e-01
0.000000000000000000e+00 -3.178050112701422186e+05 1.195449888671439309e-01 7.979993393604998264e-01 4.214307248065173317e-01
0.000000000000000000e+00 -3.174740673396047205e+05 1.172387052413795816e-01 7.932979502291158669e-01 6.613488722341783754e-01
0.000000000000000000e+00 -3.151162222192937043e+05 2.373630615778588027e-02 8.751333529165229441e-01 8.540588684552963272e-01
0.000000000000000000e+00 -3.145431157140239957e+05 9.331819678217512237e-02 6.320622831310206413e-01 8.272818524648077876e-01
0.000000000000000000e+00 -3.137040095850042999e+05 1.237980388371849871e-01 7.892095411457260568e-01 7.641590563692022275e-01
0.000000000000000000e+00 -3.134106211309902719e+05 2.643083576770344223e-03 2.356786453999651920e-01 5.357029466266539641e-01
0.000000000000000000e+00 -3.112236176929514040e+05 1.457081740419684524e-01 8.980572885049280529e-01 8.024669524430312340e-01
0.000000000000000000e+00 -3.098719763280057814e+05 9.887914733601144146e-02 4.703027387590612562e-01 1.535368530411930221e-01
0.000000000000000000e+00 -3.094596739201804157e+05 9.358259331130769354e-03 5.226598055406911358e-01 8.481616085223225854e-01
0.000000000000000000e+00 -3.068121807488240302e+05 4.491775876272963153e-02 9.592326330754500363e-01 8.545236957465212058e-01
0.000000000000000000e+00 -3.044170691103667486e+05 1.100749828922896745e-01 4.151241494214693573e-01 5.480114867237928511e-02
0.000000000000000000e+00 -3.041877275073574856e+05 8.219437735999424177e-03 4.079005913736819533e-01 8.627952485818373152e-01
0.000000000000000000e+00 -3.002675677344808937e+05 6.411597007484948207e-03 5.223698359209195674e-01 3.417689271632441406e-01
0.000000000000000000e+00 -2.994036123528669123e+05 1.134256163474270940e-01 6.633144576252789637e-01 7.382425574635231857e-01
0.000000000000000000e+00 -2.985335545631198911e+05 3.213529996918428333e-01 9.949639189310288678e-01 2.330038625847529188e-01
0.000000000000000000e+00 -2.972328372198930010e+05 1.757384899114344812e-02 7.139217255499783477e-01 7.846331538312087961e-01
0.000000000000000000e+00 -2.970820882738752989e+05 2.702561172062664108e-01 9.875621599461334998e-01 3.242659667091749576e-01
0.000000000000000000e+00 -2.962085248436234542e+05 2.412915866750350302e-01 8.302470810749960073e-01 5.398580419463927527e-02
0.000000000000000000e+00 -2.954438065069335280e+05 3.886472084635284041e-02 8.771511213553835340e-01 6.920935371392971103e-01
0.000000000000000000e+00 -2.947592687117759488e+05 1.691164807581816421e-01 9.158430246714177603e-01 9.733816344430981093e-01
0.000000000000000000e+00 -2.947123798663247144e+05 1.545864596179045147e-01 7.275305484883584084e-01 2.557215998254485090e-01
0.000000000000000000e+00 -2.932659378455390106e+05 3.636332214698405618e-01 7.170715603215903622e-01 3.472958601111486576e-02
0.000000000000000000e+00 -2.901776381784047117e+05 7.265281770611808909e-03 5.491814731456503562e-01 1.759459417898853184e-01
0.000000000000000000e+00 -2.874713539255559444e+05 2.323601005117635898e-01 9.498636005620404443e-01 4.842287913040898006e-01
